Region Number,Subregional Area Number,Area ,Total 2012 Population,Population 0-4,Population 5-14 ,Population 15-24,Population 25-44,Population 45-64 ,Population 65+,Males,Females,White,Hispanic,Black,Asian/Pacific Islander,Other Race/ Ethnicity
1,40,San Dieguito,95500,4858,11770,10699,23914,29593,14666,46969,48531,73992,13417,581,4506,3004
1,41,Carlsbad,117427,6316,15516,13709,29286,33337,19263,57077,60350,85260,17794,1566,8630,4177
1,42,Oceanside,161223,13065,20913,24239,44685,39179,19142,80038,81185,73383,62054,6459,12576,6751
1,43,Pendleton,38172,3889,4165,20469,9063,514,72,26457,11715,23295,8170,2910,1637,2160
1,52,Vista,102080,7741,14088,16186,29209,24254,10602,51505,50575,43217,48887,2538,4305,3133
1 Total,,North Coastal Region,514402,35869,66452,85302,136157,126877,63745,262046,252356,299147,150322,14054,31654,19225
2,2,Peninsula,63252,3241,4870,12112,21424,14122,7483,34465,28787,47479,8649,2163,2363,2598
2,10,Kearny Mesa,152441,9495,14918,20522,51457,36370,19679,75923,76518,83559,34846,6484,20491,7061
2,11,Coastal,75893,2489,5171,11046,27951,16501,12735,39064,36829,60540,8482,784,3504,2583
2,12,University,68088,2881,3326,24769,21378,9293,6441,33726,34362,34483,7088,1225,22408,2884
2,13,Del Mar-Mira Mesa,160089,9253,22302,21097,45740,46235,15462,80113,79976,75851,16518,3498,56910,7312
2,16,Miramar,5072,352,452,3075,1105,82,6,3854,1218,3033,1042,475,249,273
2,17,Elliott-Navajo,90258,5999,11226,10799,25502,22475,14257,43817,46441,60021,13537,3946,8181,4573
2 Total,,North Central Region,615093,33710,62265,103420,194557,145078,76063,310962,304131,364966,90162,18575,114106,27284
3,1,Central SD,166820,8934,12473,19031,70652,39059,16671,90882,75938,81444,60001,10742,8776,5857
3,5,Southeast SD,157033,11962,24409,27494,41591,36299,15278,76521,80512,14536,81088,23925,32380,5104
3,6,Mid-City,164903,12261,22212,32033,51189,34049,13159,82107,82796,45619,71270,18380,24201,5433
3 Total,,Central Region,488756,33157,59094,78558,163432,109407,45108,249510,239246,141599,212359,53047,65357,16394
4,3,Coronado,23187,955,2123,5679,5883,4932,3615,13213,9974,16865,3328,1207,906,881
4,4,National City,58752,4173,8149,12308,15866,12222,6034,30079,28673,6400,38066,2409,10570,1307
4,20,Sweetwater,139210,9378,22328,21691,39387,33824,12602,67706,71504,31514,66351,5899,30077,5369
4,21,Chula Vista,116603,8377,16397,19247,30650,27140,14792,56138,60465,20420,83820,3695,6087,2581
4,22,South Bay,135592,10688,19552,23574,37426,30904,13448,68178,67414,19675,94425,4965,13036,3491
4 Total,,South Region,473344,33571,68549,82499,129212,109022,50491,235314,238030,94874,285990,18175,60676,13629
5,30,Jamul,18079,703,1992,3125,4357,5736,2166,10392,7687,9693,5782,835,1246,523
5,31,Spring Valley,82215,5612,11304,12561,20860,21717,10161,39989,42226,38061,27450,7354,5488,3862
5,32,Lemon Grove,30110,1983,4196,4804,7869,7718,3540,14637,15473,9231,13137,4156,2304,1282
5,33,La Mesa,60320,3802,6315,7754,17783,15595,9071,28806,31514,37118,12755,4034,3670,2743
5,34,El Cajon,126047,8814,16813,19631,33133,32013,15643,61796,64251,73306,34897,6701,4630,6513
5,35,Santee,51950,3225,6526,7410,13467,14938,6384,25182,26768,38123,8646,828,2184,2169
5,36,Lakeside,56951,3665,7673,8308,14324,16146,6835,28171,28780,41013,10989,963,1252,2734
5,37,Harbison Crest,14869,613,1557,2048,2766,5139,2746,7426,7443,11562,2366,136,271,534
5,38,Alpine,15226,686,1933,2222,3132,4802,2451,7553,7673,11668,2477,174,370,537
5,61,Laguna-Pine Valley,5655,291,535,873,1031,1976,949,3020,2635,4010,987,83,109,466
5,62,Mountain Empire,8563,588,1101,1266,1875,2404,1329,4610,3953,4394,3226,206,115,622
5 Total,,East Region,469985,29982,59945,70002,120597,128184,61275,231582,238403,278179,122712,25470,21639,21985
6,14,North SD,110927,6931,15971,13124,30358,30406,14137,53633,57294,64134,11518,2488,27500,5287
6,15,Poway,87385,4423,12406,11876,19478,27341,11861,42697,44688,57809,10941,1441,13748,3446
6,39,Ramona,35635,1990,4724,5702,7830,11110,4279,17885,17750,24928,8785,283,606,1033
6,50,Escondido,165438,12509,24105,26126,45209,39248,18241,82023,83415,69771,77496,3233,10557,4381
6,51,San Marcos,91465,6336,13825,13200,24828,21093,12183,44742,46723,44892,34379,1668,7597,2929
6,53,Valley Center,23553,1200,2802,3384,4441,7481,4245,11818,11735,14651,6216,186,881,1619
6,54,Pauma,7798,654,1141,1120,1966,2035,882,4014,3784,2986,3020,111,309,1372
6,55,Fallbrook,48167,3017,6015,7274,10184,12893,8784,24030,24137,26942,18351,546,1163,1165
6,60,Palomar-Julian,6529,262,619,625,1109,2271,1643,3209,3320,4589,1048,70,104,718
6,63,Anza-Borrego Springs,4952,218,503,504,693,1436,1598,2478,2474,2853,1927,36,38,98
6 Total,,North Inland Region,581849,37540,82111,82935,146096,155314,77853,286529,295320,313555,173681,10062,62503,22048
County Total,,County Total,3143429,203829,398416,502716,890051,773882,374535,1575943,1567486,1492320,1035226,139383,355935,120565
