type,city,code,scode,name,lon,lat,area
neighborhood,CaSanSAN,SanADM,103,Adams North,-117.1191829,32.76879203,21158854.25
neighborhood,CaSanSAN,SanALL,51,Allied Gardens,-117.0816939,32.79794346,64598160.82
neighborhood,CaSanSAN,SanALT,119,Alta Vista,-117.0659975,32.69335945,7690619.299
neighborhood,CaSanSAN,SanAZL,12,Azalea/Hollywood Park,-117.1047339,32.73293943,9612716.484
neighborhood,CaSanSAN,SanBAL,89,Balboa Park,-117.1459201,32.73108759,56864340.45
neighborhood,CaSanSAN,SanBAR,90,Barrio Logan,-117.1352018,32.69242113,51716352.77
neighborhood,CaSanSAN,SanBAH,72,Bay Ho,-117.2180675,32.82403533,71457033.69
neighborhood,CaSanSAN,SanBAP,97,Bay Park,-117.1991455,32.79118377,82549287.78
neighborhood,CaSanSAN,SanBAT,19,Bay Terraces,-117.0409597,32.68977128,86236206.85
neighborhood,CaSanSAN,SanBIR,121,Birdland,-117.1548932,32.79192854,21697397.53
neighborhood,CaSanSAN,SanBLA,84,Black Mountain Ranch,-117.1405354,32.99837233,220680653.6
neighborhood,CaSanSAN,SanBOR,107,Border,-117.031564,32.54376177,2628127.052
neighborhood,CaSanSAN,SanBRO,50,Broadway Heights,-117.0540793,32.73089864,2439469.655
neighborhood,CaSanSAN,SanBUR,29,Burlingame,-117.1272831,32.73262487,2862560.459
neighborhood,CaSanSAN,SanCAE,66,Carmel Mountain,-117.0778483,32.97722102,65219115.95
neighborhood,CaSanSAN,SanCAR,43,Carmel Valley,-117.2075931,32.94105925,394637709
neighborhood,CaSanSAN,SanCAS,78,Castle,-117.1072754,32.74193079,15796355.26
neighborhood,CaSanSAN,SanCHE,45,Cherokee Point,-117.1149013,32.74587177,9714178.267
neighborhood,CaSanSAN,SanCHL,63,Chollas Creek,-117.0855284,32.74371321,10365347.13
neighborhood,CaSanSAN,SanCHO,15,Chollas View,-117.0938079,32.71387626,17140445.72
neighborhood,CaSanSAN,SanCAL,81,Clairemont Mesa East,-117.1723499,32.81892496,81647202.01
neighborhood,CaSanSAN,SanCLR,120,Clairemont Mesa West,-117.1880212,32.81130756,60406855.66
neighborhood,CaSanSAN,SanCLN,17,Colina Del Sol,-117.0854805,32.75310455,11011872.13
neighborhood,CaSanSAN,SanCLL,80,College East,-117.0589358,32.77235017,25393987.65
neighborhood,CaSanSAN,SanCOE,49,College West,-117.0808009,32.77163004,52014434.39
neighborhood,CaSanSAN,SanCOR,27,Core-Columbia,-117.1629515,32.71721112,10090664.27
neighborhood,CaSanSAN,SanCRR,46,Corridor,-117.1164938,32.75246956,9554257.432
neighborhood,CaSanSAN,SanCRT,99,Cortez,-117.1560995,32.72160397,6845250.031
neighborhood,CaSanSAN,SanDLC,65,Del Cerro,-117.0640564,32.78591541,57008272.86
neighborhood,CaSanSAN,SanDLM,110,Del Mar Heights,-117.2506985,32.95078996,59737560.24
neighborhood,CaSanSAN,SanEAS,100,East Village,-117.1522216,32.71209998,13256699.94
neighborhood,CaSanSAN,SanEGG,55,Egger Highlands,-117.1004875,32.58731051,82055681.2
neighborhood,CaSanSAN,SanELC,118,El Cerrito,-117.0731406,32.75398404,16618185.21
neighborhood,CaSanSAN,SanEMR,33,Emerald Hills,-117.0755904,32.71737565,23067533.04
neighborhood,CaSanSAN,SanEAN,35,Encanto,-117.0603498,32.7136987,65830085.47
neighborhood,CaSanSAN,SanFAI,117,Fairmont Park,-117.1096022,32.72322939,15446804.09
neighborhood,CaSanSAN,SanFRM,61,Fairmont Village,-117.0966255,32.74491231,8989146.352
neighborhood,CaSanSAN,SanFOX,91,Fox Canyon,-117.090505,32.74644487,2609535.127
neighborhood,CaSanSAN,SanGAS,6,Gaslamp,-117.1601282,32.71151787,1710483.127
neighborhood,CaSanSAN,SanGOL,76,Golden Hill,-117.1355959,32.71644798,16242288.45
neighborhood,CaSanSAN,SanGRN,102,Grant Hill,-117.1350696,32.70976453,7864427.072
neighborhood,CaSanSAN,SanGRA,64,Grantville,-117.0997169,32.7919233,56850453.4
neighborhood,CaSanSAN,SanHAR,73,Harborview,-117.172413,32.72492476,4943668.23
neighborhood,CaSanSAN,SanHIL,7,Hillcrest,-117.1603206,32.74832408,36760345.85
neighborhood,CaSanSAN,SanHOR,26,Horton Plaza,-117.1637876,32.71412952,1918298.21
neighborhood,CaSanSAN,SanISL,48,Islenair,-117.0912043,32.74068306,1148969.052
neighborhood,CaSanSAN,SanJAM,108,Jamacha Lomita,-117.031448,32.71273713,32352759.93
neighborhood,CaSanSAN,SanKER,123,Kearny Mesa,-117.1416141,32.82611558,166034073.9
neighborhood,CaSanSAN,SanKEN,104,Kensington,-117.1044355,32.7670542,29712984.27
neighborhood,CaSanSAN,SanLAJ,70,La Jolla,-117.2541049,32.83864538,249372956.1
neighborhood,CaSanSAN,SanLAP,24,La Playa,-117.2360675,32.71482542,16927286.09
neighborhood,CaSanSAN,SanLAK,53,Lake Murray,-117.0282564,32.8148832,165727071.8
neighborhood,CaSanSAN,SanLNC,62,Lincoln Park,-117.0900949,32.70061648,20074075.45
neighborhood,CaSanSAN,SanLIN,75,Linda Vista,-117.1719622,32.78617597,85848937.22
neighborhood,CaSanSAN,SanLIT,113,Little Italy,-117.1680056,32.72460604,4400103.617
